x,y,z
8.092,4.310,11.904
6.519,2.794,11.281
1.063,4.695,12.012
2.480,3.666,45.549
1.951,3.262,41.114
9.768,2.273,14.093
7.828,7.952,41.954
8.549,6.175,20.777
6.677,3.530,10.834
5.889,0.591,9.317
8.997,6.947,24.151
8.021,8.528,38.254
8.497,1.921,13.613
2.549,1.332,27.180
6.421,2.022,11.101
4.524,4.225,26.487
2.464,8.238,4.518
9.646,1.488,14.557
4.025,5.591,13.042
0.937,4.118,14.018
7.348,6.284,23.140
8.184,0.131,12.958
4.377,6.264,9.418
0.724,4.415,10.166
0.013,6.846,-0.267
4.276,0.975,17.494
8.492,8.919,30.599
9.519,0.116,13.989
2.906,0.751,19.382
2.361,0.510,12.717
8.231,7.919,38.250
9.505,1.381,15.227
1.942,5.404,11.471
4.038,5.040,19.952
6.104,2.922,12.822
0.130,1.745,4.880
7.931,5.393,15.667
9.926,7.416,18.650
7.783,7.814,43.150
9.032,9.104,24.232
1.109,0.386,5.784
1.032,7.332,2.290
4.383,3.908,32.776
4.832,3.822,25.291
2.089,3.458,42.333
2.462,2.045,40.570
8.947,5.777,16.026
4.409,0.610,13.008
8.847,9.497,21.760
9.496,2.364,14.027
2.478,1.805,36.627
4.938,2.988,27.654
3.347,5.480,16.349
7.774,0.595,12.494
1.302,2.662,25.995
2.250,1.725,31.366
5.833,7.727,21.678
3.801,3.162,47.609
5.766,9.524,13.374
2.739,6.177,8.937
0.848,7.461,1.984
7.427,7.447,40.029
2.910,9.200,4.262
8.131,8.820,33.630
3.280,2.368,49.892
5.533,1.297,13.654
8.586,6.892,26.668
0.316,3.959,7.486
8.074,9.375,28.177
3.968,8.004,6.655
9.862,7.589,20.124
9.530,7.871,22.400
5.905,0.454,10.570
7.029,5.628,14.790
7.152,4.246,10.499
6.942,4.671,11.425
4.796,1.093,16.417
4.607,3.438,31.360
9.034,4.346,13.790
4.978,4.132,20.954
4.150,2.958,41.664
2.806,2.703,52.644
6.777,2.989,11.942
5.275,9.873,9.444
7.330,3.015,11.676
1.392,1.772,19.569
8.061,5.379,14.367
3.878,2.704,46.140
9.086,5.490,14.700
2.087,0.911,16.322
8.158,8.081,40.431
0.205,8.757,0.206
2.822,7.430,4.000
5.536,5.948,10.788
2.848,7.391,3.969
7.121,4.533,11.625
8.793,9.902,18.623
7.011,7.336,35.292
5.055,1.473,17.396
2.862,7.904,4.179
2.541,1.369,28.846
5.458,0.129,9.004
2.323,0.251,10.058
4.533,9.792,8.093
3.933,5.023,21.258
9.984,5.691,14.879
0.026,9.628,-0.948
5.613,3.028,18.413
4.921,3.506,26.559
3.072,2.464,51.578
2.776,1.176,25.812
0.371,4.172,7.323
9.311,6.910,22.082
7.000,8.386,38.863
3.722,6.738,6.584
1.737,0.525,10.537
4.557,9.957,7.564
4.544,1.528,22.728
5.547,7.729,18.033
9.524,0.573,14.816
7.572,8.668,38.937
7.683,4.877,12.045
2.152,2.037,37.177
2.188,2.489,42.993
4.788,5.517,12.531
6.306,1.992,12.740
4.417,5.379,14.514
3.763,0.762,18.889
9.040,0.758,12.866
3.164,6.213,9.200
6.700,8.396,33.760
5.952,4.620,11.235
5.793,1.742,14.298
8.064,2.551,12.169
6.963,7.417,35.624
5.825,3.611,15.712
9.996,6.236,15.621
1.456,4.471,17.560
7.705,1.726,11.711
2.814,3.519,50.285
1.107,3.940,18.037
1.152,1.559,13.405
6.548,7.779,32.522
2.594,7.169,5.507
2.252,9.854,3.180
5.848,0.300,10.200
8.842,0.623,12.517
0.749,1.829,10.471
5.856,8.800,19.901
0.694,3.579,14.135
1.332,0.477,6.485
5.051,4.290,18.399
0.346,4.660,5.810
5.748,2.084,13.890
2.542,4.810,24.429
6.706,4.279,12.203
7.552,0.227,10.881
6.087,0.374,10.039
9.586,0.166,13.379
6.394,0.516,9.689
1.095,3.012,22.602
2.240,6.508,5.595
4.889,8.498,10.687
7.959,4.619,12.779
3.328,6.258,7.788
8.401,8.409,35.382
6.566,4.144,12.457
5.536,2.205,16.577
6.440,8.088,31.755
9.324,6.696,20.888
2.667,0.209,11.159
9.202,3.443,14.566
1.335,4.615,14.672
0.760,0.213,3.293
2.727,5.763,11.401
0.944,2.285,15.973
7.895,8.278,41.410
4.719,3.305,31.010
7.715,7.591,41.203
2.515,6.871,5.434
9.597,8.259,21.666
1.283,3.655,23.490
1.807,7.689,3.360
8.603,1.040,13.908
6.523,5.791,13.705
6.689,8.271,34.171
3.563,3.207,51.209
9.721,3.945,14.824
8.999,7.865,27.976
2.944,2.139,45.054
5.649,9.191,13.981
1.717,6.856,3.072
2.675,2.803,51.271
2.747,2.622,52.338
4.476,7.663,8.210
0.175,3.592,6.793
3.615,3.802,44.855
0.477,7.674,1.757
3.800,8.042,5.741
2.136,5.251,14.379
9.783,3.740,15.218
8.178,9.948,20.739
4.103,0.061,10.209
7.875,9.763,22.225
7.020,7.800,40.515
2.104,6.500,5.697
9.464,0.780,13.964
9.566,1.800,14.463
7.331,3.130,12.153
9.820,1.398,14.434
4.742,6.448,9.129
3.297,0.738,19.209
5.852,8.577,21.002
6.938,8.802,34.065
5.579,7.896,18.545
2.123,7.728,4.274
1.093,3.149,21.261
9.149,9.898,17.290
4.949,1.297,16.481
0.148,2.868,6.637
1.298,0.337,6.692
4.913,2.201,24.858
3.837,8.354,5.799
9.248,9.856,16.641
6.057,5.270,12.102
4.626,2.961,33.269
8.241,4.411,12.114
9.025,0.784,14.431
7.160,0.601,10.345
5.051,4.289,19.509
8.292,6.715,27.812
9.162,8.185,26.732
2.639,5.108,20.605
6.871,1.201,10.857
1.591,0.197,6.152
8.835,5.287,15.267
3.424,3.589,48.537
7.105,2.198,10.715
0.857,4.490,11.381
7.917,9.392,26.833
2.245,8.665,2.735
3.996,9.637,7.190
3.029,7.303,4.734
6.110,1.945,13.081
1.081,8.988,0.968
9.738,8.898,19.151
2.956,9.320,5.134
4.342,2.595,37.581
7.695,5.701,16.862
5.597,3.548,16.268
3.981,9.718,6.887
1.593,6.112,4.621
3.652,1.643,34.785
6.163,5.396,11.240
6.219,9.706,15.581
4.989,9.326,8.777
3.991,3.496,43.042
6.758,2.713,11.885
9.986,9.450,16.226
5.181,6.341,10.859
9.342,5.224,14.547
3.443,8.160,5.524
2.807,2.436,50.127
9.695,6.400,17.354
6.561,0.683,10.831
6.678,1.880,11.852
1.940,7.059,3.817
3.068,0.548,15.016
2.987,2.465,51.206
4.838,8.032,11.004
2.002,7.230,3.786
6.370,7.372,27.391
9.098,3.588,12.859
5.802,1.155,11.677
3.080,4.587,31.942
2.406,0.436,13.161
3.703,8.604,6.658
2.858,3.097,54.457
4.499,2.792,35.825
3.943,1.259,25.667
8.769,8.234,32.294
8.735,8.762,28.224
9.334,2.763,13.171
7.621,8.148,42.383
5.773,7.871,20.347
5.084,6.587,10.479
6.624,9.094,25.994
2.479,1.606,32.697
1.074,0.694,6.043
4.059,9.092,5.740
2.341,6.118,7.261
2.596,7.426,3.905
6.323,4.896,11.974
6.122,2.034,12.059
9.004,7.832,28.096
8.911,1.109,13.494
4.454,8.783,8.189
0.285,0.329,1.719
5.876,0.281,8.917
7.412,7.782,43.087
1.856,4.749,18.985
2.603,9.035,4.005
3.396,9.909,4.202
6.170,7.874,27.734
6.060,8.709,23.300
4.777,9.950,8.203
0.661,9.439,0.253
3.958,0.832,17.277
8.380,5.737,16.771
9.875,3.150,14.974
9.096,4.735,13.794
6.836,6.245,21.057
5.036,2.589,24.011
1.474,7.010,1.783
8.524,2.092,12.225
1.524,4.089,24.603
0.217,0.961,2.669
5.361,5.924,10.280
5.779,9.622,12.873
5.023,5.624,10.612
8.627,0.145,12.549
5.881,5.460,11.228
8.885,1.280,14.330
8.034,2.863,11.436
4.561,8.802,7.436
6.521,4.507,11.946
8.535,4.397,12.717
8.770,1.342,13.638
5.237,8.846,11.987
0.909,0.517,5.171
4.406,2.472,35.800
5.123,7.127,12.461
6.103,9.005,20.898
0.471,0.087,2.623
6.615,4.654,10.655
8.287,5.099,14.598
7.377,3.565,12.224
4.257,3.812,34.200
0.431,5.633,1.776
2.124,8.384,2.601
7.980,5.875,19.407
8.537,6.332,22.407
6.611,6.400,21.398
7.354,9.488,25.626
6.260,1.733,12.561
8.207,9.181,29.759
8.140,6.086,21.232
0.056,8.292,0.648
0.388,0.875,3.341
6.698,1.894,11.074
4.018,0.854,18.483
3.538,1.836,37.483
1.876,3.226,38.178
8.220,8.487,37.188
8.498,2.075,11.854
1.300,8.745,2.500
4.737,7.074,9.565
9.599,1.833,13.750
9.328,3.493,14.378
0.125,6.505,0.587
1.598,0.580,10.012
2.418,2.867,48.540
0.077,6.537,1.211
1.090,2.384,20.637
1.769,8.760,2.084
5.323,0.392,10.702
3.971,6.959,6.635
4.896,1.823,22.081
1.666,5.865,6.219
8.996,8.440,28.661
6.986,2.130,11.074
5.969,0.899,10.796
6.571,1.277,11.450
1.645,0.891,13.857
4.849,2.341,25.681
5.212,0.422,10.505
4.058,7.500,7.241
9.497,6.695,18.371
8.599,5.135,14.535
4.203,1.502,25.739
4.901,1.090,15.274
2.432,0.923,18.439
8.441,6.617,25.260
2.174,7.477,4.258
8.703,6.127,19.943
3.542,1.468,30.685
7.614,9.277,28.987
3.008,1.046,22.890
6.068,1.019,10.377
3.065,8.707,4.744
9.308,1.170,14.413
1.928,1.183,18.915
2.035,7.132,3.725
3.443,7.985,6.146
8.998,7.252,25.285
3.076,2.893,54.971
0.746,3.040,16.105
9.601,7.764,22.591
6.759,2.404,11.285
4.322,4.455,25.738
5.052,1.632,18.035
8.098,6.338,22.467
4.369,2.360,34.658
7.741,9.571,25.332
7.912,8.828,36.682
5.094,3.764,22.580
4.455,5.343,14.055
2.636,6.473,6.449
7.969,9.335,28.008
6.688,8.690,32.418
6.017,3.376,13.368
7.276,2.147,11.081
7.722,5.820,17.632
5.126,2.797,23.274
9.152,0.564,13.572
3.958,3.445,43.007
2.464,7.775,4.737
2.609,4.988,22.024
4.375,0.890,17.657
2.866,0.047,10.825
6.013,2.567,13.195
7.531,8.838,37.082
8.487,6.354,21.814
0.075,9.273,0.595
7.454,6.191,21.712
0.070,2.569,5.587
3.401,8.591,5.242
8.888,4.505,13.715
7.530,1.964,12.017
8.015,9.741,22.877
9.917,5.783,15.916
1.056,4.021,17.088
5.642,1.214,12.500
7.144,1.118,10.793
0.233,7.213,1.429
7.612,5.253,14.790
6.069,2.433,13.619
0.613,7.103,0.168
9.151,8.587,25.011
5.572,3.934,15.722
2.106,5.773,9.306
0.724,2.342,12.906
7.185,5.730,16.492
1.169,1.622,15.220
2.373,0.744,15.956
6.768,3.948,10.761
1.174,4.216,16.896
6.616,9.150,24.910
2.114,2.533,42.058
0.098,4.447,4.352
1.145,2.610,23.049
2.856,7.005,6.049
6.996,0.618,10.153
7.504,6.134,20.348
5.583,3.262,18.221
2.479,7.517,3.121
6.621,1.846,11.465
9.442,1.274,14.456
9.543,8.522,20.956
5.213,7.032,12.911
4.791,3.390,29.708
2.463,4.936,21.426
5.017,4.944,13.866
6.207,8.339,27.116
9.539,3.300,14.246
8.467,6.612,24.949
8.676,3.976,12.939
6.004,1.279,11.772
6.914,1.910,12.012
1.145,0.120,4.526
9.428,2.763,15.010
1.041,3.343,20.194
3.058,6.626,6.328
7.759,3.479,11.147
6.565,8.122,34.293
9.403,2.082,14.927
8.378,0.628,12.757
6.595,3.592,11.897
2.543,5.315,16.990
8.770,1.537,12.283
8.159,8.986,31.921
0.136,1.964,5.986
4.278,1.888,31.070
4.808,2.022,25.218
9.714,6.155,16.020
2.917,2.415,49.488
5.133,9.316,9.609
4.180,4.624,23.653
3.381,1.195,25.475
5.613,7.963,19.027
9.636,2.553,15.440
1.344,3.657,25.497
2.935,9.693,5.005
9.132,7.394,26.210
6.779,2.596,10.901
